idx,avgs
:50,0.7779878794781174
:100,1.3947814401102425
:150,1.4010211890702169
:200,1.6251407678665952
:250,1.3369876884150949
:300,1.3183767265277055
:350,1.370450182579211
:400,1.4574090419652763
:450,1.5970199112211305
:500,1.0376528649139405
:550,1.694181635250286
:600,1.5789950180820838
:650,1.4976694386787905
:700,1.594612357695612
:750,1.5072889134237386
:800,1.4692569370599677
:850,1.395851839112237
:900,1.6174243156026569
:950,1.4319321772022258
:1000,1.4293536807988525
:1050,1.319760079216876
:1100,0.9726515897544297
:1150,0.9817998057399694
:1200,0.8083892297859577
:1250,0.8284155921662864
:1300,1.2577147896563923
:1350,1.3774084718769537
